ImageId,Label
1,0
2,6
3,9
4,6
5,4
6,7
7,3
8,3
9,4
10,3
11,1
12,9
13,3
14,0
15,4
16,0
17,3
18,1
19,9
20,8
21,9
22,1
23,1
24,5
25,7
26,9
27,6
28,9
29,4
30,9
31,7
32,2
33,6
34,3
35,6
36,2
37,4
38,5
39,3
40,7
41,9
42,7
43,7
44,9
45,1
46,7
47,8
48,7
49,2
50,1
51,6
52,8
53,3
54,3
55,1
56,7
57,8
58,6
59,1
60,0
61,6
62,3
63,8
64,0
65,6
66,0
67,1
68,8
69,2
70,1
71,6
72,1
73,8
74,6
75,8
76,1
77,8
78,9
79,6
80,0
81,7
82,4
83,1
84,9
85,9
86,3
87,4
88,3
89,6
90,9
91,3
92,0
93,6
94,9
95,6
96,4
97,3
98,9
99,7
100,1
101,6
102,3
103,0
104,0
105,6
106,7
107,3
108,5
109,7
110,3
111,2
112,8
113,3
114,8
115,8
116,6
117,1
118,1
119,7
120,7
121,3
122,9
123,6
124,2
125,6
126,3
127,6
128,9
129,6
130,1
131,6
132,8
133,6
134,6
135,4
136,6
137,3
138,0
139,4
140,4
141,4
142,3
143,1
144,0
145,0
146,8
147,9
148,9
149,1
150,1
151,6
152,6
153,4
154,6
155,6
156,3
157,1
158,3
159,6
160,1
161,3
162,0
163,6
164,5
165,3
166,3
167,1
168,2
169,3
170,1
171,1
172,7
173,9
174,6
175,1
176,6
177,7
178,4
179,1
180,6
181,4
182,6
183,6
184,6
185,5
186,4
187,2
188,1
189,2
190,0
191,6
192,1
193,1
194,8
195,2
196,0
197,9
198,7
199,6
200,9
201,1
202,5
203,6
204,9
205,9
206,0
207,4
208,9
209,6
210,6
211,1
212,9
213,3
214,6
215,7
216,1
217,5
218,6
219,5
220,9
221,3
222,1
223,9
224,0
225,6
226,6
227,6
228,6
229,1
230,0
231,3
232,6
233,9
234,1
235,8
236,1
237,4
238,8
239,7
240,6
241,3
242,6
243,6
244,2
245,4
246,4
247,9
248,7
249,8
250,5
251,6
252,7
253,6
254,7
255,8
256,4
257,5
258,1
259,1
260,3
261,0
262,2
263,3
264,5
265,1
266,4
267,0
268,8
269,6
270,1
271,6
272,0
273,6
274,3
275,3
276,9
277,6
278,3
279,6
280,6
281,6
282,9
283,2
284,0
285,6
286,3
287,9
288,8
289,9
290,9
291,8
292,9
293,7
294,4
295,1
296,8
297,3
298,0
299,3
300,7
301,6
302,9
303,1
304,2
305,6
306,1
307,9
308,8
309,7
310,1
311,8
312,1
313,9
314,8
315,0
316,4
317,1
318,6
319,1
320,1
321,6
322,1
323,8
324,4
325,8
326,3
327,9
328,1
329,6
330,6
331,6
332,3
333,1
334,3
335,0
336,7
337,3
338,6
339,7
340,3
341,4
342,7
343,1
344,2
345,5
346,1
347,3
348,6
349,3
350,1
351,6
352,7
353,7
354,1
355,5
356,3
357,4
358,9
359,0
360,9
361,2
362,6
363,3
364,4
365,9
366,6
367,3
368,3
369,1
370,6
371,5
372,1
373,6
374,9
375,7
376,2
377,9
378,5
379,3
380,9
381,1
382,5
383,9
384,5
385,6
386,6
387,8
388,3
389,5
390,6
391,6
392,9
393,4
394,9
395,6
396,6
397,1
398,1
399,7
400,0
401,9
402,1
403,6
404,1
405,1
406,1
407,3
408,6
409,3
410,5
411,0
412,1
413,0
414,3
415,6
416,6
417,1
418,1
419,3
420,4
421,7
422,2
423,6
424,1
425,5
426,6
427,1
428,7
429,7
430,7
431,8
432,1
433,2
434,0
435,5
436,1
437,8
438,9
439,1
440,0
441,7
442,4
443,6
444,5
445,3
446,9
447,7
448,7
449,3
450,9
451,9
452,7
453,6
454,1
455,3
456,9
457,6
458,8
459,6
460,7
461,6
462,7
463,6
464,0
465,3
466,1
467,7
468,9
469,2
470,6
471,1
472,8
473,9
474,1
475,5
476,1
477,2
478,4
479,1
480,5
481,2
482,8
483,1
484,2
485,7
486,9
487,1
488,3
489,3
490,6
491,6
492,9
493,3
494,4
495,7
496,7
497,6
498,3
499,1
500,3
501,6
502,5
503,7
504,0
505,1
506,8
507,6
508,3
509,0
510,6
511,6
512,8
513,6
514,7
515,8
516,0
517,0
518,9
519,4
520,2
521,6
522,7
523,0
524,7
525,9
526,1
527,2
528,1
529,3
530,7
531,3
532,4
533,2
534,6
535,9
536,5
537,6
538,2
539,6
540,5
541,7
542,2
543,8
544,6
545,0
546,3
547,0
548,1
549,2
550,9
551,8
552,6
553,0
554,2
555,0
556,0
557,9
558,5
559,6
560,1
561,0
562,7
563,5
564,1
565,6
566,2
567,4
568,9
569,1
570,9
571,6
572,8
573,8
574,6
575,0
576,0
577,6
578,6
579,4
580,3
581,4
582,1
583,7
584,6
585,9
586,1
587,4
588,0
589,8
590,0
591,6
592,8
593,5
594,5
595,6
596,5
597,6
598,5
599,0
600,0
601,1
602,1
603,9
604,1
605,5
